City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
4,Marsa Matruh,EG,73.47,clear sky,31.3525,27.2453,Beau Site
5,Amahai,ID,75.76,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
6,Norman Wells,CA,75.06,overcast clouds,65.282,-126.8329,Heritage Hotel
16,Svetlyy,RU,73.45,clear sky,54.675,20.1347,"Gostinitsa-Kafe, Alena"
17,Albany,US,85.91,few clouds,42.6001,-73.9662,
19,Berdigestyakh,RU,71.83,few clouds,62.0989,126.6992,
20,Vaini,TO,75.09,scattered clouds,-21.2,-175.2,Keleti Beach Resort
22,Arraial Do Cabo,BR,72.63,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
24,Manokwari,ID,77.45,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
26,Hithadhoo,MV,83.17,overcast clouds,-0.6,73.0833,Scoop Guest House
27,Sibolga,ID,74.55,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
36,Waingapu,ID,75.88,few clouds,-9.6567,120.2641,Pondok Wisata Elim
39,Hoquiam,US,84.92,clear sky,46.9809,-123.8893,Econo Lodge Inn & Suites
41,Hilo,US,80.8,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
42,Ponta Do Sol,PT,70.72,scattered clouds,32.6667,-17.1,Hotel do Campo
46,Bodden Town,KY,89.6,few clouds,19.2833,-81.25,Will T Place
47,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
49,Avera,US,78.85,light rain,33.194,-82.5271,
50,Isangel,VU,76.64,overcast clouds,-19.55,169.2667,Tanna Lodge
51,Tecpatan,MX,84.97,overcast clouds,17.1333,-93.3,Casa San Miguel
53,Baherden,TM,74.64,clear sky,38.4362,57.4316,
55,Hami,CN,75.85,few clouds,42.8,93.45,Laoyutang Resort
56,Rikitea,PF,75.38,clear sky,-23.1203,-134.9692,People ThankYou
57,Ahuacatlan,MX,81.95,broken clouds,21.05,-104.4833,Hotel Hacienda el Ceboruco
61,Avarua,CK,72.73,overcast clouds,-21.2078,-159.775,Paradise Inn
62,Atuona,PF,79.32,few clouds,-9.8,-139.0333,Villa Enata
63,Jamestown,US,81.07,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
64,Faanui,PF,80.04,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
66,Calvia,ES,73.92,few clouds,39.5657,2.5062,Castell Son Claret
69,Barra,BR,79.7,clear sky,-11.0894,-43.1417,Motel Albatroz
72,Komsomolskiy,UZ,71.96,broken clouds,40.4272,71.7189,Ikathouse
74,Manggar,ID,78.06,broken clouds,-2.8833,108.2667,Guest Hotel
76,Puerto Rondon,CO,74.77,moderate rain,6.2805,-71.1,Urbanización Santa Clara
77,Port Elizabeth,ZA,70.11,few clouds,-33.918,25.5701,39 On Nile Guest House
78,Mapiri,BO,76.98,broken clouds,-15.25,-68.1667,
79,Nagram,IN,78.85,overcast clouds,26.6167,81.1333,Yadav dhaba 2
81,Itoman,JP,81.37,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
