City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Punta Arenas,CL,2021-06-20 20:56:41,-53.15,-70.9167,41.11,75,0,13.8,clear sky
1,Geraldton,AU,2021-06-20 21:00:59,-28.7667,114.6,54.01,71,75,17.27,broken clouds
2,Dikson,RU,2021-06-20 21:00:59,73.5069,80.5464,31.69,86,1,4.85,clear sky
3,La Reforma,MX,2021-06-20 21:01:00,25.0833,-108.05,91.15,62,88,16.08,overcast clouds
4,Marsa Matruh,EG,2021-06-20 21:01:00,31.3525,27.2453,73.47,80,0,7.23,clear sky
5,Amahai,ID,2021-06-20 21:01:00,-3.3333,128.9167,75.76,87,91,3.18,overcast clouds
6,Norman Wells,CA,2021-06-20 21:01:01,65.282,-126.8329,75.06,33,100,9.46,overcast clouds
7,Lompoc,US,2021-06-20 21:01:01,34.6391,-120.4579,95.02,72,9,7.0,clear sky
8,Busselton,AU,2021-06-20 21:01:02,-33.65,115.3333,49.08,74,99,20.56,overcast clouds
9,Mineralnyye Vody,RU,2021-06-20 21:01:02,44.2103,43.1353,68.09,73,4,6.71,clear sky
10,Talcahuano,CL,2021-06-20 21:01:02,-36.7167,-73.1167,53.83,75,100,13.42,overcast clouds
11,Kodiak,US,2021-06-20 21:01:03,57.79,-152.4072,47.71,93,90,13.8,light rain
12,Ushuaia,AR,2021-06-20 21:01:03,-54.8,-68.3,35.62,82,100,10.71,overcast clouds
13,Fortuna,US,2021-06-20 21:01:03,40.5982,-124.1573,101.48,63,1,3.0,clear sky
14,Gazalkent,UZ,2021-06-20 21:01:04,41.5581,69.7708,66.56,28,0,6.29,clear sky
15,Kaitangata,NZ,2021-06-20 21:01:04,-46.2817,169.8464,39.43,92,11,3.58,few clouds
16,Svetlyy,RU,2021-06-20 21:01:04,54.675,20.1347,73.45,87,1,7.43,clear sky
17,Albany,US,2021-06-20 20:58:39,42.6001,-73.9662,85.91,57,16,6.51,few clouds
18,Gorin,RU,2021-06-20 21:01:05,51.1983,136.6669,59.63,60,52,1.28,broken clouds
19,Berdigestyakh,RU,2021-06-20 21:01:05,62.0989,126.6992,71.83,55,17,2.82,few clouds
20,Vaini,TO,2021-06-20 21:01:06,-21.2,-175.2,75.09,74,43,5.41,scattered clouds
21,Coihaique,CL,2021-06-20 21:01:06,-45.5752,-72.0662,38.46,93,100,3.65,overcast clouds
22,Arraial Do Cabo,BR,2021-06-20 21:01:06,-22.9661,-42.0278,72.63,78,79,13.11,broken clouds
